ID,technology,source,source_type,year,type,country,capacity_definition,comment,capacity,energy_source_level_0,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology_level
3591,"Biomass and biogas",EUROSTAT,"Statistical Office",1990,"Installed capacity in MW",DE,Unknown,,89,0,0,0,1,1
3592,"Concentrated solar power",EUROSTAT,"Statistical Office",1990,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
3593,"Fossil fuels",EUROSTAT,"Statistical Office",1990,"Installed capacity in MW",DE,Unknown,,68330,0,1,0,0,0
3594,Geothermal,EUROSTAT,"Statistical Office",1990,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
3595,Hydro,EUROSTAT,"Statistical Office",1990,"Installed capacity in MW",DE,Unknown,,8182,0,0,1,1,0
3596,Marine,EUROSTAT,"Statistical Office",1990,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
3597,"Non-renewable waste",EUROSTAT,"Statistical Office",1990,"Installed capacity in MW",DE,Unknown,,803,0,0,1,1,1
3598,Nuclear,EUROSTAT,"Statistical Office",1990,"Installed capacity in MW",DE,Unknown,,22406,0,1,1,1,1
3599,"Other bioenergy and renewable waste",EUROSTAT,"Statistical Office",1990,"Installed capacity in MW",DE,Unknown,,22,0,0,0,1,1
3600,Photovoltaics,EUROSTAT,"Statistical Office",1990,"Installed capacity in MW",DE,Unknown,,2,0,0,0,0,1
3601,"Pumped storage",EUROSTAT,"Statistical Office",1990,"Installed capacity in MW",DE,Unknown,,4200,0,0,0,0,1
3602,Wind,EUROSTAT,"Statistical Office",1990,"Installed capacity in MW",DE,Unknown,,48,0,0,1,1,0
3603,"Differently categorized solar",EUROSTAT,"Statistical Office",1990,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
3604,Solar,EUROSTAT,"Statistical Office",1990,"Installed capacity in MW",DE,Unknown,,2,0,0,1,1,0
3605,"Differently categorized wind",EUROSTAT,"Statistical Office",1990,"Installed capacity in MW",DE,Unknown,,48,0,0,0,0,1
3606,"Bioenergy and renewable waste",EUROSTAT,"Statistical Office",1990,"Installed capacity in MW",DE,Unknown,,111,0,0,1,0,0
3607,"Renewable energy sources",EUROSTAT,"Statistical Office",1990,"Installed capacity in MW",DE,Unknown,,8343,0,1,0,0,0
3608,"Differently categorized fossil fuels",EUROSTAT,"Statistical Office",1990,"Installed capacity in MW",DE,Unknown,,67527,0,0,1,1,1
3609,Total,EUROSTAT,"Statistical Office",1990,"Installed capacity in MW",DE,Unknown,,99079,1,0,0,0,0
3610,"Biomass and biogas",EUROSTAT,"Statistical Office",1991,"Installed capacity in MW",DE,Unknown,,89,0,0,0,1,1
3611,"Concentrated solar power",EUROSTAT,"Statistical Office",1991,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
3612,"Fossil fuels",EUROSTAT,"Statistical Office",1991,"Installed capacity in MW",DE,Unknown,,86871,0,1,0,0,0
3613,Geothermal,EUROSTAT,"Statistical Office",1991,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
3614,Hydro,EUROSTAT,"Statistical Office",1991,"Installed capacity in MW",DE,Unknown,,8549,0,0,1,1,0
3615,Marine,EUROSTAT,"Statistical Office",1991,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
3616,"Non-renewable waste",EUROSTAT,"Statistical Office",1991,"Installed capacity in MW",DE,Unknown,,853,0,0,1,1,1
3617,Nuclear,EUROSTAT,"Statistical Office",1991,"Installed capacity in MW",DE,Unknown,,22527,0,1,1,1,1
3618,"Other bioenergy and renewable waste",EUROSTAT,"Statistical Office",1991,"Installed capacity in MW",DE,Unknown,,43,0,0,0,1,1
3619,Photovoltaics,EUROSTAT,"Statistical Office",1991,"Installed capacity in MW",DE,Unknown,,2,0,0,0,0,1
3620,"Pumped storage",EUROSTAT,"Statistical Office",1991,"Installed capacity in MW",DE,Unknown,,4516,0,0,0,0,1
3621,Wind,EUROSTAT,"Statistical Office",1991,"Installed capacity in MW",DE,Unknown,,110,0,0,1,1,0
3622,"Differently categorized solar",EUROSTAT,"Statistical Office",1991,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
3623,Solar,EUROSTAT,"Statistical Office",1991,"Installed capacity in MW",DE,Unknown,,2,0,0,1,1,0
3624,"Differently categorized wind",EUROSTAT,"Statistical Office",1991,"Installed capacity in MW",DE,Unknown,,110,0,0,0,0,1
3625,"Bioenergy and renewable waste",EUROSTAT,"Statistical Office",1991,"Installed capacity in MW",DE,Unknown,,132,0,0,1,0,0
3626,"Renewable energy sources",EUROSTAT,"Statistical Office",1991,"Installed capacity in MW",DE,Unknown,,8793,0,1,0,0,0
3627,"Differently categorized fossil fuels",EUROSTAT,"Statistical Office",1991,"Installed capacity in MW",DE,Unknown,,86018,0,0,1,1,1
3628,Total,EUROSTAT,"Statistical Office",1991,"Installed capacity in MW",DE,Unknown,,118191,1,0,0,0,0
3629,"Biomass and biogas",EUROSTAT,"Statistical Office",1992,"Installed capacity in MW",DE,Unknown,,79,0,0,0,1,1
3630,"Concentrated solar power",EUROSTAT,"Statistical Office",1992,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
3631,"Fossil fuels",EUROSTAT,"Statistical Office",1992,"Installed capacity in MW",DE,Unknown,,83989,0,1,0,0,0
3632,Geothermal,EUROSTAT,"Statistical Office",1992,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
3633,Hydro,EUROSTAT,"Statistical Office",1992,"Installed capacity in MW",DE,Unknown,,8625,0,0,1,1,0
3634,Marine,EUROSTAT,"Statistical Office",1992,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
3635,"Non-renewable waste",EUROSTAT,"Statistical Office",1992,"Installed capacity in MW",DE,Unknown,,875,0,0,1,1,1
3636,Nuclear,EUROSTAT,"Statistical Office",1992,"Installed capacity in MW",DE,Unknown,,22605,0,1,1,1,1
3637,"Other bioenergy and renewable waste",EUROSTAT,"Statistical Office",1992,"Installed capacity in MW",DE,Unknown,,77,0,0,0,1,1
3638,Photovoltaics,EUROSTAT,"Statistical Office",1992,"Installed capacity in MW",DE,Unknown,,6,0,0,0,0,1
3639,"Pumped storage",EUROSTAT,"Statistical Office",1992,"Installed capacity in MW",DE,Unknown,,4576,0,0,0,0,1
3640,Wind,EUROSTAT,"Statistical Office",1992,"Installed capacity in MW",DE,Unknown,,183,0,0,1,1,0
3641,"Differently categorized solar",EUROSTAT,"Statistical Office",1992,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
3642,Solar,EUROSTAT,"Statistical Office",1992,"Installed capacity in MW",DE,Unknown,,6,0,0,1,1,0
3643,"Differently categorized wind",EUROSTAT,"Statistical Office",1992,"Installed capacity in MW",DE,Unknown,,183,0,0,0,0,1
3644,"Bioenergy and renewable waste",EUROSTAT,"Statistical Office",1992,"Installed capacity in MW",DE,Unknown,,156,0,0,1,0,0
3645,"Renewable energy sources",EUROSTAT,"Statistical Office",1992,"Installed capacity in MW",DE,Unknown,,8970,0,1,0,0,0
3646,"Differently categorized fossil fuels",EUROSTAT,"Statistical Office",1992,"Installed capacity in MW",DE,Unknown,,83114,0,0,1,1,1
3647,Total,EUROSTAT,"Statistical Office",1992,"Installed capacity in MW",DE,Unknown,,115564,1,0,0,0,0
3648,"Biomass and biogas",EUROSTAT,"Statistical Office",1993,"Installed capacity in MW",DE,Unknown,,89,0,0,0,1,1
3649,"Concentrated solar power",EUROSTAT,"Statistical Office",1993,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
3650,"Fossil fuels",EUROSTAT,"Statistical Office",1993,"Installed capacity in MW",DE,Unknown,,82668,0,1,0,0,0
3651,Geothermal,EUROSTAT,"Statistical Office",1993,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
3652,Hydro,EUROSTAT,"Statistical Office",1993,"Installed capacity in MW",DE,Unknown,,8693,0,0,1,1,0
3653,Marine,EUROSTAT,"Statistical Office",1993,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
3654,"Non-renewable waste",EUROSTAT,"Statistical Office",1993,"Installed capacity in MW",DE,Unknown,,889,0,0,1,1,1
3655,Nuclear,EUROSTAT,"Statistical Office",1993,"Installed capacity in MW",DE,Unknown,,22657,0,1,1,1,1
3656,"Other bioenergy and renewable waste",EUROSTAT,"Statistical Office",1993,"Installed capacity in MW",DE,Unknown,,77,0,0,0,1,1
